Date,USD,EUR,RUB,JPY,TRY
01/01/2019,0.78405,0.8985,0.01137,,
02/01/2019,0.7986,0.90405,0.011559,,
03/01/2019,0.79184,0.90191,0.01149,,
04/01/2019,0.78548,0.8956,0.011695,,
05/01/2019,0.78548,0.8956,0.011686,,
06/01/2019,0.78524,0.89593,0.011622,,
07/01/2019,0.7821,0.89785,0.011706,,
08/01/2019,0.78506,0.89932,0.011726,,
09/01/2019,0.78127,0.9026,0.01171,,
10/01/2019,0.78407,0.90222,0.011714,,
11/01/2019,0.77803,0.8925,0.011632,,
12/01/2019,0.77803,0.8925,0.011625,,
13/01/2019,0.77822,0.8918,0.011628,,
14/01/2019,0.7767,0.8909,0.011583,,
15/01/2019,0.77687,0.8866,0.011581,,
16/01/2019,0.77605,0.88449,0.01169,,
17/01/2019,0.77018,0.8772,0.011598,,
18/01/2019,0.77616,0.8827,0.011729,,
19/01/2019,0.77616,0.8827,0.011729,,
20/01/2019,0.778,0.88432,0.011731,,
21/01/2019,0.77569,0.88191,0.011677,,
22/01/2019,0.77174,0.87699,0.011598,,
23/01/2019,0.7644,0.8703,0.011564,,
24/01/2019,0.7621,0.86212,0.011584,,
25/01/2019,0.7574,0.8634,0.011479,,
26/01/2019,0.75752,0.864,0.011479,,
27/01/2019,0.75709,0.8639,0.011504,,
28/01/2019,0.75987,0.86847,0.011464,,
29/01/2019,0.7645,0.87437,0.011579,,
30/01/2019,0.76236,0.8754,0.011642,,
31/01/2019,0.76281,0.8732,0.011659,,
01/02/2019,0.76383,0.8751,0.011667,,
02/02/2019,0.76383,0.8752,0.011667,,
03/02/2019,0.76468,0.8759,0.011671,,
04/02/2019,0.7674,0.87759,0.011696,,
05/02/2019,0.77177,0.88051,0.011752,,
06/02/2019,0.77313,0.87863,0.011742,,
07/02/2019,0.77225,0.8756,0.011708,,
08/02/2019,0.7725,0.8756,0.011795,,
09/02/2019,0.77208,0.873,0.011795,,
10/02/2019,0.77299,0.8753,0.011807,,
11/02/2019,0.77736,0.87677,0.011808,,
12/02/2019,0.77567,0.87912,0.011772,,
13/02/2019,0.7778,0.87623,0.011684,,
14/02/2019,0.78135,0.88249,0.011716,,
15/02/2019,0.77537,0.8758,0.011695,,
16/02/2019,0.77537,0.8758,0.011692,,
17/02/2019,0.77486,0.8751,0.011692,,
18/02/2019,0.77486,0.8751,0.011692,,
19/02/2019,0.76562,0.86823,0.011632,,
20/02/2019,0.76657,0.86971,0.011668,,
21/02/2019,0.76679,0.86951,0.011668,,
22/02/2019,0.76605,0.8688,0.011713,,
23/02/2019,0.76599,0.86945,0.011713,,
24/02/2019,0.76537,0.86804,0.01169,,
25/02/2019,0.76178,0.86572,0.011606,,
26/02/2019,0.75426,0.85933,0.011478,,
27/02/2019,0.75085,0.85444,0.011413,,
28/02/2019,0.75387,0.85738,0.011441,,
01/03/2019,0.75694,0.8612,0.011475,,
02/03/2019,0.75694,0.8612,0.011475,,
03/03/2019,0.7553,0.8592,0.011463,,
04/03/2019,0.75881,0.86024,0.011545,,
05/03/2019,0.76007,0.85929,0.011541,,
06/03/2019,0.7586,0.8583,0.011496,,
07/03/2019,0.7638,0.8554,0.011518,,
08/03/2019,0.76817,0.8633,0.011575,,
09/03/2019,0.76817,0.8633,0.011575,,
10/03/2019,0.76992,0.86476,0.011593,,
11/03/2019,0.7548,0.84997,0.011456,,
12/03/2019,0.7653,0.86389,0.011658,,
13/03/2019,0.75269,0.85283,0.011509,,
14/03/2019,0.75423,0.85286,0.011513,,
15/03/2019,0.75081,0.852,0.011594,,
16/03/2019,0.75081,0.852,0.011594,,
17/03/2019,0.75204,0.8512,0.011594,,
18/03/2019,0.7539,0.85469,0.011711,,
19/03/2019,0.7535,0.8555,0.011702,,
20/03/2019,0.75727,0.86535,0.011857,,
21/03/2019,0.76148,0.8663,0.011925,,
22/03/2019,0.75689,0.8568,0.011712,,
23/03/2019,0.75654,0.856,0.011712,,
24/03/2019,0.7572,0.8553,0.011727,,
25/03/2019,0.7567,0.8562,0.011808,,
26/03/2019,0.75692,0.85334,0.011757,,
27/03/2019,0.7603,0.8554,0.011717,,
28/03/2019,0.7659,0.86021,0.011788,,
29/03/2019,0.76658,0.8612,0.011685,,
30/03/2019,0.76658,0.8612,0.011684,,
31/03/2019,0.76788,0.8618,0.011693,,
01/04/2019,0.76517,0.85738,0.011722,,
02/04/2019,0.76175,0.85339,0.011651,,
03/04/2019,0.7589,0.85339,0.011631,,
04/04/2019,0.7647,0.85833,0.011683,,
05/04/2019,0.76693,0.8618,0.011752,,
06/04/2019,0.76693,0.8617,0.011752,,
07/04/2019,0.76698,0.8605,0.011723,,
08/04/2019,0.7655,0.86174,0.011789,0.0069,
09/04/2019,0.76586,0.86279,0.011796,,
10/04/2019,0.7634,0.86085,0.011872,,
11/04/2019,0.76593,0.86243,0.011852,,
12/04/2019,0.76429,0.8663,0.011883,,
13/04/2019,0.76441,0.8626,0.011878,,
14/04/2019,0.7643,0.86388,0.011867,,
15/04/2019,0.7632,0.8628,0.011857,,
16/04/2019,0.7665,0.8648,0.011962,,
17/04/2019,0.76691,0.86632,0.011998,,
18/04/2019,0.76956,0.8646,0.012032,,
19/04/2019,0.76941,0.8653,0.012016,,
20/04/2019,0.76941,0.8654,0.012016,,
21/04/2019,0.7696,0.86542,0.012016,,
22/04/2019,0.77033,0.8673,0.012064,,
23/04/2019,0.77291,0.86749,0.012126,,
24/04/2019,0.7749,0.8642,0.012023,,
25/04/2019,0.77543,0.86357,0.011989,,
26/04/2019,0.77411,0.8645,0.011938,,
27/04/2019,0.77417,0.86058,0.011938,,
28/04/2019,0.77398,0.86295,0.011963,,
29/04/2019,0.77325,0.86485,0.011989,,
30/04/2019,0.76688,0.85994,0.011866,0.0069,
01/05/2019,0.7661,0.8579,0.011822,,
02/05/2019,0.76727,0.8571,0.011726,,
03/05/2019,0.75907,0.8518,0.011652,,
04/05/2019,0.75907,0.8517,0.011652,,
05/05/2019,0.76042,0.85053,0.011628,,
06/05/2019,0.7634,0.855,0.011684,,
07/05/2019,0.76518,0.8562,0.011694,,
08/05/2019,0.76852,0.86054,0.011807,,
09/05/2019,0.76866,0.86229,0.011777,,
10/05/2019,0.76941,0.8639,0.011808,,
11/05/2019,0.76941,0.8638,0.011808,,
12/05/2019,0.7686,0.8638,0.011787,,
13/05/2019,0.77142,0.86643,0.011803,,
14/05/2019,0.7748,0.8681,0.011933,,
15/05/2019,0.77836,0.87226,0.012028,,
16/05/2019,0.78139,0.87303,0.012081,,
17/05/2019,0.78623,0.8789,0.012133,,
18/05/2019,0.78623,0.8788,0.012133,,
19/05/2019,0.78545,0.87692,0.01213,,
20/05/2019,0.7856,0.87735,0.012176,,
21/05/2019,0.78691,0.87851,0.012221,,
22/05/2019,0.78963,0.8808,0.012259,,
23/05/2019,0.7896,0.8833,0.012169,,
24/05/2019,0.78653,0.8821,0.012198,,
25/05/2019,0.78641,0.8793,0.012198,,
26/05/2019,0.78587,0.8809,0.012183,,
27/05/2019,0.7885,0.88269,0.012243,,
28/05/2019,0.78991,0.88223,0.012209,,
29/05/2019,0.7918,0.88178,0.012185,,
30/05/2019,0.79304,0.88271,0.012148,,
31/05/2019,0.7912,0.886,0.012088,,
01/06/2019,0.7912,0.8859,0.012088,,
02/06/2019,0.79117,0.884,0.012059,,
03/06/2019,0.78963,0.88799,0.012079,,
04/06/2019,0.78723,0.88583,0.012074,,
05/06/2019,0.78811,0.885,0.01206,,
06/06/2019,0.7875,0.8881,0.012099,,
07/06/2019,0.78487,0.8905,0.012108,,
