Date,USD,EUR,RUB,HUF
01/01/2020,0.7547,0.84657,0.01219039,
02/01/2020,0.7603,0.8495,0.01232194,
03/01/2020,0.7644091,0.85145,0.012314,
04/01/2020,0.7640003,0.85145,0.012314,0.0026
05/01/2020,0.76452,0.85329,0.01230263,
06/01/2020,0.7593,0.84998,0.01227908,0.0026
07/01/2020,0.76256,0.85053,0.01229902,
08/01/2020,0.76306,0.8479,0.01244214,
09/01/2020,0.7651,0.84995,0.01247471,
10/01/2020,0.7654038,0.851,0.01253039,
11/01/2020,0.7653452,0.8512,0.01253039,
12/01/2020,0.76654,0.85213,0.01257438,
13/01/2020,0.76993,0.85732,0.01256489,
14/01/2020,0.7679,0.85452,0.01249337,
15/01/2020,0.7668,0.8551,0.01248648,
16/01/2020,0.7646,0.8514,0.01240294,
17/01/2020,0.7686986,0.8521,0.01246925,
18/01/2020,0.7682262,0.8521,0.01246925,
19/01/2020,0.7688,0.8529,0.01249249,
20/01/2020,0.7689,0.8532,0.01247595,
21/01/2020,0.7664,0.84969,0.01237855,
22/01/2020,0.76076,0.8441,0.01228506,
23/01/2020,0.7622,0.84259,0.0123019,
24/01/2020,0.7647769,0.8433,0.01231678,
25/01/2020,0.7648067,0.8433,0.01231678,
26/01/2020,0.76559,0.84402,0.01229699,
27/01/2020,0.76569,0.84371,0.01216094,
28/01/2020,0.76778,0.84624,0.01232786,
29/01/2020,0.76793,0.84575,0.01227102,
30/01/2020,0.764,0.84273,0.01207914,
31/01/2020,0.7574036,0.8398,0.01183096,
01/02/2020,0.7571456,0.8398,0.01183096,
02/02/2020,0.75863,0.84125,0.01186562,
03/02/2020,0.76938,0.8509,0.01207451,
04/02/2020,0.7673,0.84758,0.0121801,
05/02/2020,0.7694,0.8464,0.01223199,
06/02/2020,0.77338,0.8492,0.01221022,
07/02/2020,0.7759156,0.8491,0.01209028,
08/02/2020,0.7755545,0.8491,0.01209028,
09/02/2020,0.7757,0.84931,0.01209245,
10/02/2020,0.7741,0.84466,0.01206899,
11/02/2020,0.77181,0.84268,0.01217538,
12/02/2020,0.77175,0.83929,0.01219985,
13/02/2020,0.76647,0.8309,0.0120318,
14/02/2020,0.7664304,0.82982,0.01205837,
15/02/2020,0.7663951,0.82982,0.01205837,
16/02/2020,0.76611,0.8305,0.01206692,
17/02/2020,0.7687,0.83313,0.01210032,
18/02/2020,0.7691,0.8303,0.0120274,
19/02/2020,0.7735,0.8363,0.01216546,
20/02/2020,0.7762,0.83739,0.01209262,
21/02/2020,0.7713074,0.83567,0.0120357,
22/02/2020,0.7716049,0.83567,0.0120357,
23/02/2020,0.77198,0.83668,0.01205608,
24/02/2020,0.7736,0.8391,0.01182996,
25/02/2020,0.76903,0.83662,0.01176877,
26/02/2020,0.77478,0.84332,0.0118257,
27/02/2020,0.77586,0.85315,0.0116971,
28/02/2020,0.7801286,0.8606,0.01165154,
29/02/2020,0.7798487,0.8606,0.01165154,
01/03/2020,0.78082,0.86284,0.01164093,
02/03/2020,0.78326,0.87275,0.01180711,
03/03/2020,0.77998,0.8717,0.01177207,
04/03/2020,0.7767,0.86527,0.01172391,
05/03/2020,0.77216,0.86662,0.01142164,
06/03/2020,0.7662189,0.8519,0.01117792,
07/03/2020,0.7662835,0.8777,0.01117198,
08/03/2020,0.7634,0.86916,0.01055862,
09/03/2020,0.7648,0.87175,0.01023859,
10/03/2020,0.77461,0.87666,0.0108962,
11/03/2020,0.78014,0.87845,0.01065826,
12/03/2020,0.79553,0.88973,0.01060911,
13/03/2020,0.8149,0.9081,0.01119235,
14/03/2020,0.8149295,0.9081,0.01119235,
15/03/2020,0.80646,0.89932,0.01112079,
16/03/2020,0.81522,0.9099,0.01095043,
